ID,ChangeSetID,TimeStamp,ReplicationTime,User,Cube,Tuple,OldValue,NewValue,StatusMessage
1500,18e,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementProperties', 'Test123']",,READ,
1499,18d,2022-08-17T16:55:47Z,,,,,,,Change set 18d complete : 1
1498,18d,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementProperties', '12345']",WRITE,READ,
1497,18c,2022-08-17T16:55:47Z,,,,,,,Change set 18c complete : 1
1496,18c,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_}Groups', 'Test123']",,READ,
1495,18b,2022-08-17T16:55:47Z,,,,,,,Change set 18b complete : 1
1494,18b,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_}Groups', '12345']",WRITE,READ,
1493,18a,2022-08-17T16:55:47Z,,,,,,,Change set 18a complete : 1
1492,18a,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_}Cultures', 'Test123']",,READ,
1491,18F,2022-08-17T16:55:47Z,,,,,,,Change set 18F complete : 1
1490,18F,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_}Cultures', '12345']",WRITE,READ,
1489,18E,2022-08-17T16:55:47Z,,,,,,,Change set 18E complete : 1
1488,18E,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_}Clients', 'Test123']",,READ,
1487,18D,2022-08-17T16:55:47Z,,,,,,,Change set 18D complete : 1
1486,18D,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_}Clients', '12345']",WRITE,READ,
1485,18C,2022-08-17T16:55:47Z,,,,,,,Change set 18C complete : 1
